"carat","cut","color","clarity","depth","table","price","x","y","z"
"0.81","Good","G","SI2","59.2","64.0","2474","6.11","6.15","3.63"
"0.39","Ideal","G","SI2","62.0","55.0","683","4.69","4.73","2.92"
"0.33","Ideal","G","VVS1","61.7","56.0","868","4.45","4.47","2.75"
"0.73","Very Good","I","VS2","59.0","61.0","2329","5.84","5.88","3.46"
"0.38","Very Good","E","IF","59.5","57.0","1421","4.77","4.84","2.86"
"0.33","Ideal","G","VVS1","62.0","56.0","868","4.45","4.48","2.77"
"1.2","Premium","F","SI1","62.9","58.0","6435","6.76","6.69","4.23"
"1.11","Ideal","I","VS1","61.0","57.0","6077","6.68","6.72","4.09"
"1.15","Ideal","I","SI1","61.9","56.0","6300","6.68","6.72","4.15"
"0.35","Premium","D","SI1","60.1","61.0","827","4.59","4.56","2.75"
"1.72","Very Good","I","SI2","63.4","57.0","8630","7.6","7.58","4.81"
"1.24","Ideal","J","VS1","61.6","57.0","5866","6.89","6.93","4.26"
"0.5","Premium","H","IF","60.3","58.0","1846","5.14","5.18","3.11"
"1.01","Good","E","SI1","64.7","57.0","4608","6.22","6.29","4.05"
"0.7","Fair","E","SI2","64.6","53.0","2092","5.58","5.63","3.62"
"0.4","Good","E","SI2","64.2","57.0","798","4.7","4.68","3.01"
"1.21","Premium","J","SI1","62.2","57.0","5266","6.84","6.76","4.23"
"0.31","Ideal","D","VS2","61.9","56.0","734","4.34","4.38","2.7"
"0.32","Good","I","VS1","63.1","56.0","505","4.38","4.4","2.77"
"0.58","Very Good","F","VS2","60.7","63.0","1914","5.39","5.36","3.26"
"1.52","Premium","G","VS2","62.6","55.0","12958","7.39","7.28","4.59"
"2.01","Very Good","H","SI2","63.0","59.0","15773","7.9","7.93","4.99"
"1.1","Ideal","H","SI2","63.1","58.0","4725","6.54","6.53","4.12"
"0.35","Ideal","G","VS2","62.5","53.0","615","4.53","4.56","2.84"
"2.0","Good","G","SI2","64.3","60.0","10416","7.87","7.83","5.05"
"1.1","Ideal","I","VS2","62.0","56.0","4897","6.67","6.62","4.12"
"2.0","Very Good","H","SI1","63.2","54.0","13320","7.97","7.88","5.01"
"1.58","Premium","I","VS2","59.4","61.0","8583","7.66","7.63","4.54"
"0.33","Premium","G","VVS2","61.3","59.0","722","4.42","4.45","2.72"
"2.01","Very Good","H","SI2","62.9","55.0","14426","8.03","8.09","5.07"
"0.31","Ideal","D","SI1","61.7","56.0","541","4.35","4.37","2.69"
"0.51","Ideal","D","VS2","62.2","58.0","1678","5.1","5.12","3.18"
"0.63","Premium","H","VS1","61.7","59.0","1996","5.53","5.49","3.4"
"0.46","Very Good","E","VS2","62.6","58.0","1245","4.91","4.96","3.09"
"0.32","Ideal","E","VS2","62.0","55.0","702","4.39","4.41","2.73"
"0.7","Premium","E","SI2","61.8","59.0","2159","5.69","5.76","3.54"
"0.52","Very Good","G","SI1","59.6","62.0","1244","5.18","5.23","3.1"
"1.24","Premium","E","SI2","60.5","62.0","4666","6.97","6.89","4.19"
"0.42","Ideal","E","VS2","62.4","55.0","1024","4.83","4.79","3.0"
"0.33","Ideal","E","VS1","60.6","57.0","1002","4.54","4.5","2.74"
"0.74","Ideal","J","VS1","61.6","57.0","2154","5.77","5.83","3.57"
"0.72","Very Good","G","VS1","60.6","56.0","2970","5.84","5.87","3.55"
"0.71","Very Good","G","VS2","62.1","58.0","2649","5.69","5.77","3.56"
"2.01","Fair","I","I1","55.9","64.0","5696","8.48","8.39","4.71"
"0.3","Ideal","I","VS1","61.6","56.0","608","4.36","4.31","2.67"
"0.57","Ideal","F","VVS1","61.3","56.0","3343","5.4","5.37","3.3"
"0.7","Ideal","H","SI1","62.1","56.0","2113","5.74","5.67","3.54"
"1.01","Ideal","H","SI2","62.8","56.0","4119","6.38","6.45","4.03"
"0.31","Premium","G","VVS1","59.5","60.0","1046","4.41","4.39","2.62"
"0.58","Ideal","G","VS2","61.9","56.0","1758","5.38","5.34","3.32"
"0.3","Premium","D","SI1","62.7","60.0","552","4.23","4.26","2.66"
"0.7","Very Good","G","VS2","63.2","57.0","2353","5.61","5.66","3.56"
"1.02","Ideal","I","SI2","62.9","56.0","3521","6.45","6.37","4.03"
"0.85","Very Good","E","VS2","63.6","56.0","3997","5.97","6.01","3.81"
"0.5","Premium","F","VS1","62.9","58.0","1666","5.09","5.05","3.19"
"0.36","Good","F","VS1","63.6","60.0","945","4.52","4.47","2.86"
"0.42","Ideal","E","VS2","62.0","55.0","958","4.8","4.82","2.98"
"2.02","Good","J","SI2","64.4","60.0","10666","7.87","7.93","5.09"
"1.25","Premium","I","VS1","60.4","59.0","6545","6.94","7.01","4.21"
"0.8","Very Good","H","VS1","62.7","56.0","3144","5.88","5.96","3.71"
"0.72","Premium","F","SI1","62.0","60.0","2385","5.77","5.74","3.57"
"0.31","Ideal","I","VS2","62.0","54.0","452","4.37","4.4","2.72"
"0.32","Ideal","E","SI2","61.6","56.0","427","4.4","4.43","2.72"
"1.33","Ideal","F","IF","60.2","57.0","18435","7.12","7.17","4.3"
"0.51","Ideal","I","VS1","62.0","57.0","1376","5.1","5.13","3.17"
"0.5","Fair","H","VS1","67.1","58.0","1134","4.94","4.89","3.3"
"0.39","Very Good","E","VVS2","62.2","55.0","962","4.66","4.7","2.91"
"0.51","Ideal","F","VS1","61.8","54.0","1632","5.15","5.18","3.19"
"0.42","Ideal","G","VS1","61.9","56.0","921","4.77","4.82","2.97"
"0.5","Ideal","G","VS2","62.0","56.0","1449","5.08","5.11","3.16"
"0.92","Good","I","VS1","60.9","63.0","3723","6.27","6.34","3.84"
"0.71","Ideal","E","VS2","61.1","56.0","3342","5.77","5.79","3.53"
"0.41","Very Good","E","VVS2","63.8","58.0","1019","4.67","4.7","2.99"
"0.79","Premium","H","VS2","62.6","61.0","2726","5.9","5.86","3.68"
"0.4","Ideal","E","SI1","61.8","56.0","945","4.74","4.71","2.92"
"0.85","Good","G","SI1","64.9","56.0","2945","5.95","5.98","3.87"
"0.31","Premium","F","VS2","59.3","60.0","625","4.39","4.41","2.61"
"0.91","Fair","E","VS2","61.8","66.0","4550","6.11","6.09","3.77"
"1.07","Very Good","I","SI1","62.6","58.0","4451","6.49","6.57","4.09"
"1.0","Very Good","G","SI2","60.0","62.0","4195","6.45","6.48","3.88"
"0.31","Ideal","G","VS1","62.1","55.0","625","4.33","4.37","2.7"
"0.9","Premium","D","SI1","59.4","62.0","4304","6.24","6.19","3.69"
"0.44","Good","D","SI1","58.8","62.0","777","4.97","5.0","2.93"
"1.09","Very Good","G","VS1","62.5","59.0","6827","6.54","6.57","4.1"
"0.33","Very Good","G","VS1","62.0","59.0","666","4.36","4.42","2.72"
"1.57","Ideal","E","VS2","60.5","57.0","17548","7.53","7.57","4.57"
"1.15","Ideal","G","SI2","62.8","57.0","3613","6.7","6.65","4.19"
"1.2","Ideal","D","SI2","61.7","56.0","6740","6.88","6.81","4.22"
"1.32","Ideal","G","SI2","62.9","57.0","6409","6.98","6.94","4.38"
"0.3","Ideal","E","IF","61.1","57.0","1013","4.31","4.33","2.64"
"0.78","Very Good","H","SI1","63.1","58.0","2600","5.85","5.88","3.7"
"0.3","Ideal","E","VS2","62.2","56.0","844","4.3","4.28","2.67"
"0.77","Premium","H","VS2","59.4","60.0","2546","6.0","5.96","3.55"
"1.5","Good","I","SI1","64.3","55.0","8736","7.24","7.19","4.64"
"0.59","Premium","D","VS1","61.9","58.0","2326","5.37","5.32","3.31"
"0.28","Good","J","VVS2","58.4","60.0","375","4.27","4.33","2.51"
"1.0","Very Good","E","SI2","59.8","58.0","4321","6.47","6.53","3.89"
"0.73","Very Good","D","VS2","60.5","59.0","3411","5.76","5.84","3.51"
"0.31","Ideal","D","SI1","62.5","53.0","533","4.34","4.37","2.72"
"1.05","Ideal","E","SI1","60.7","55.0","6316","6.62","6.67","4.03"
"2.01","Premium","E","SI2","62.2","60.0","13387","8.02","7.96","4.97"
"1.58","Premium","I","VS1","61.1","59.0","10618","7.52","7.44","4.57"
"0.42","Ideal","F","VVS2","61.6","56.0","1142","4.83","4.85","2.98"
"1.54","Ideal","H","SI1","61.1","56.0","9562","7.45","7.42","4.54"
"0.31","Premium","F","VS2","62.3","60.0","802","4.35","4.32","2.7"
"1.01","Ideal","I","SI1","60.6","57.0","3999","6.51","6.56","3.96"
"2.33","Very Good","H","SI2","63.2","56.0","13500","8.44","8.35","5.31"
"0.4","Ideal","F","VVS2","62.4","56.0","1088","4.72","4.74","2.95"
"0.37","Premium","F","VS2","61.9","58.0","957","4.6","4.54","2.83"
"0.33","Ideal","D","SI1","62.8","55.0","780","4.45","4.41","2.78"
"0.4","Good","G","SI2","60.6","55.8","672","4.76","4.82","2.91"
"1.25","Ideal","F","VVS1","62.2","56.0","12584","6.89","6.93","4.3"
"0.41","Premium","G","VS2","61.8","59.0","1061","4.76","4.72","2.93"
"1.02","Premium","H","SI2","59.2","59.0","3769","6.57","6.54","3.88"
"1.03","Ideal","D","SI1","61.0","57.0","5804","6.48","6.53","3.97"
"0.3","Ideal","D","VS2","61.5","55.0","911","4.35","4.3","2.66"
"1.0","Premium","D","SI2","60.9","59.0","5286","6.46","6.41","3.92"
"0.3","Premium","H","SI1","61.2","60.0","421","4.29","4.31","2.63"
"0.4","Premium","D","SI2","61.9","58.0","855","4.73","4.71","2.92"
"1.04","Ideal","H","SI1","61.6","55.0","6458","6.51","6.54","4.02"
"0.51","Ideal","F","VVS2","62.6","57.0","2203","5.13","5.1","3.2"
"0.52","Very Good","F","VS2","60.4","56.0","1581","5.27","5.29","3.19"
"0.7","Ideal","E","VS2","61.5","57.0","2980","5.67","5.78","3.52"
"0.25","Very Good","E","VVS2","63.4","58.0","575","3.97","4.01","2.53"
"1.02","Premium","D","SI1","60.6","59.0","5918","6.53","6.47","3.94"
"0.7","Fair","H","SI1","65.3","55.0","1865","5.58","5.54","3.63"
"0.42","Ideal","G","VVS1","61.2","57.0","1235","4.82","4.78","2.94"
"0.31","Very Good","F","VS2","62.8","56.0","625","4.28","4.32","2.7"
"0.71","Ideal","D","SI2","60.2","57.0","2262","5.77","5.83","3.49"
"1.0","Fair","F","VS1","64.8","61.0","6115","6.26","6.21","4.04"
"1.08","Premium","H","I1","61.7","59.0","3118","6.54","6.59","4.05"
"0.74","Ideal","F","SI2","61.6","55.0","2410","5.81","5.87","3.6"
"0.9","Premium","F","VS2","62.4","58.0","4801","6.15","6.22","3.86"
"1.21","Ideal","G","VVS2","62.0","56.0","10378","6.8","6.84","4.23"
"0.42","Premium","E","SI1","60.0","58.0","722","4.85","4.89","2.92"
"0.32","Ideal","H","VVS1","62.7","55.0","692","4.37","4.4","2.75"
"0.49","Premium","H","VS2","59.6","62.0","965","5.17","5.14","3.07"
"1.06","Premium","F","VS2","61.8","60.0","6673","6.58","6.53","4.05"
"0.23","Very Good","F","VS1","60.9","57.0","357","3.96","3.99","2.42"
"0.7","Very Good","E","SI1","63.0","55.0","2537","5.61","5.66","3.55"
"0.41","Premium","H","SI2","60.9","60.0","649","4.84","4.81","2.94"
"0.31","Very Good","I","SI1","60.7","60.0","408","4.33","4.37","2.64"
"0.31","Ideal","H","VVS1","62.3","54.0","687","4.37","4.4","2.73"
"0.38","Premium","E","VVS1","60.6","59.0","1119","4.65","4.62","2.81"
"1.5","Very Good","E","VS2","62.1","60.0","14256","7.27","7.31","4.53"
"0.7","Ideal","G","VVS1","62.8","57.0","3165","5.63","5.68","3.55"
"0.46","Ideal","J","VVS1","61.8","56.0","1018","4.97","4.93","3.06"
"0.56","Very Good","H","VVS2","59.8","57.0","1723","5.39","5.48","3.25"
"0.71","Premium","G","VS2","61.9","62.0","2694","5.72","5.69","3.53"
"0.52","Ideal","G","VVS2","62.2","56.0","1906","5.13","5.16","3.2"
"2.01","Ideal","F","SI2","61.6","55.0","18183","8.08","8.02","4.97"
"0.31","Good","G","VS1","63.7","56.0","802","4.3","4.27","2.73"
"1.01","Good","I","SI2","61.8","62.0","3399","6.28","6.35","3.9"
"0.7","Ideal","D","VVS2","61.7","55.0","5539","5.73","5.75","3.54"
"0.35","Ideal","G","VVS2","61.9","57.0","676","4.49","4.52","2.79"
"1.26","Premium","J","SI1","61.8","58.0","5080","6.91","6.88","4.26"
"0.3","Premium","H","VS1","61.0","58.0","526","4.28","4.31","2.62"
"1.14","Ideal","F","VS2","61.9","57.0","7819","6.67","6.7","4.13"
"0.31","Good","F","VVS1","63.6","61.0","742","4.21","4.25","2.69"
"0.36","Ideal","F","SI1","61.5","56.0","600","4.59","4.62","2.83"
"0.33","Very Good","F","VS2","61.9","57.0","666","4.42","4.44","2.74"
"2.04","Ideal","H","SI2","61.2","56.0","15874","8.19","8.25","5.03"
"0.36","Premium","G","VS1","61.7","59.0","726","4.55","4.59","2.82"
"0.7","Ideal","H","SI1","62.2","55.0","2294","5.67","5.71","3.54"
"0.76","Very Good","F","SI2","63.3","55.0","2347","5.79","5.83","3.68"
"2.05","Premium","I","SI1","61.2","57.0","15837","8.24","8.21","5.03"
"1.27","Ideal","G","VS2","62.8","54.0","8705","6.92","6.87","4.33"
"0.9","Good","F","SI1","62.9","57.0","3780","6.08","6.13","3.84"
"0.7","Good","H","SI1","64.2","58.0","1865","5.62","5.59","3.6"
"1.55","Premium","D","VS2","61.5","58.0","15991","7.48","7.51","4.61"
"1.5","Premium","F","SI2","58.5","60.0","7644","7.52","7.48","4.39"
"1.14","Premium","G","SI2","60.9","56.0","5139","6.8","6.73","4.12"
"0.9","Ideal","D","VS2","63.0","57.0","5897","6.14","6.09","3.85"
"0.62","Ideal","G","VS2","61.6","55.0","2321","5.51","5.53","3.4"
"1.53","Ideal","I","VS2","61.5","56.0","11434","7.39","7.44","4.55"
"0.41","Ideal","I","VVS1","62.3","53.0","785","4.77","4.79","2.98"
"0.43","Ideal","D","VS1","62.1","55.0","1207","4.83","4.86","3.01"
"0.41","Good","D","SI1","63.2","58.0","738","4.72","4.77","3.0"
"0.54","Premium","E","SI1","60.2","58.0","1361","5.27","5.3","3.18"
"0.5","Good","J","SI1","59.6","60.0","959","5.15","5.18","3.08"
"0.52","Ideal","D","SI1","60.9","57.0","1720","5.21","5.17","3.16"
"1.4","Premium","H","SI1","62.2","58.0","8223","7.16","7.12","4.44"
"0.58","Very Good","E","VS2","61.9","58.0","1656","5.31","5.36","3.3"
"0.31","Ideal","D","SI1","60.8","56.0","571","4.32","4.37","2.64"
"1.01","Good","E","VS2","65.6","55.0","5829","6.16","6.22","4.06"
"0.9","Premium","F","SI2","61.1","54.0","3457","6.29","6.27","3.84"
"1.05","Very Good","F","VVS2","61.3","59.0","8537","6.48","6.56","4.0"
"2.11","Very Good","I","SI1","62.4","53.0","14740","8.17","8.27","5.13"
"2.56","Premium","J","SI1","61.4","58.0","17186","8.76","8.73","5.37"
"0.24","Premium","H","VVS1","61.2","58.0","554","4.01","3.96","2.44"
"0.33","Ideal","F","VVS2","61.4","56.0","1040","4.49","4.44","2.74"
"1.08","Ideal","I","SI1","62.6","54.0","5141","6.56","6.51","4.09"
"0.31","Premium","H","VS2","62.2","58.0","628","4.34","4.31","2.69"
"1.01","Ideal","G","VS2","61.9","55.0","6108","6.49","6.46","4.01"
"1.01","Very Good","H","VS2","62.0","59.0","5186","6.45","6.48","4.01"
"0.91","Very Good","H","VS1","61.7","56.0","4066","6.22","6.25","3.85"
"0.51","Very Good","E","VVS2","60.0","58.0","2062","5.19","5.21","3.12"
"0.51","Very Good","D","SI1","61.0","60.0","1569","5.15","5.18","3.15"
"0.7","Fair","G","SI2","61.5","66.0","1999","5.55","5.6","3.43"
"0.6","Very Good","D","VS1","61.4","59.0","2431","5.41","5.44","3.33"
"1.51","Fair","G","VS2","58.1","67.0","10553","7.59","7.49","4.38"
"1.33","Ideal","G","VS1","59.9","57.3","10732","7.16","7.21","4.3"
"0.5","Premium","D","SI1","59.1","61.0","1215","5.18","5.07","3.03"
"1.0","Premium","D","SI1","61.5","60.0","5488","6.38","6.34","3.91"
"0.9","Ideal","F","VS1","61.6","56.0","5386","6.2","6.23","3.83"
"0.3","Very Good","D","SI1","63.3","55.0","709","4.31","4.28","2.72"
"1.03","Ideal","H","SI2","60.6","56.0","4283","6.53","6.63","3.99"
"1.13","Premium","E","VS1","61.1","59.0","8353","6.72","6.69","4.1"
"0.63","Ideal","F","VS2","61.2","56.0","2182","5.56","5.51","3.39"
"0.71","Very Good","D","SI1","61.1","56.0","2724","5.74","5.78","3.52"
"1.5","Premium","J","VS2","61.7","56.0","7308","7.33","7.23","4.49"
"0.51","Ideal","I","VS1","61.8","56.0","1301","5.1","5.13","3.16"
"0.54","Ideal","E","VS1","62.6","55.0","1823","5.22","5.2","3.26"
"0.55","Premium","E","SI1","62.4","57.6","1630","5.23","5.28","3.27"
"0.23","Very Good","D","VVS2","62.6","58.0","530","3.89","3.94","2.45"
"0.84","Premium","E","VS2","62.4","60.0","3528","6.04","5.98","3.75"
"0.5","Very Good","D","VS2","63.2","60.0","1632","5.04","5.02","3.18"
"0.3","Ideal","D","VS2","62.3","56.0","911","4.3","4.27","2.67"
"0.37","Very Good","H","SI1","63.2","57.0","684","4.58","4.54","2.88"
"0.34","Very Good","E","SI1","62.9","56.0","596","4.45","4.48","2.81"
"0.59","Ideal","D","VVS1","62.3","54.0","3791","5.36","5.39","3.35"
"0.31","Ideal","I","SI1","61.5","55.0","436","4.36","4.39","2.69"
"0.84","Premium","E","SI2","59.2","59.0","3086","6.19","6.14","3.65"
"0.32","Ideal","J","VS2","62.1","54.0","393","4.38","4.44","2.74"
"0.39","Very Good","F","VS2","58.8","59.0","821","4.8","4.83","2.83"
"0.34","Ideal","G","VS1","61.3","55.0","898","4.52","4.55","2.78"
"0.31","Ideal","E","SI1","61.8","53.9","542","4.32","4.35","2.68"
"1.35","Ideal","G","VS1","60.9","54.0","10471","7.18","7.15","4.36"
"0.52","Ideal","H","VVS1","60.4","57.0","1872","5.23","5.2","3.15"
"1.01","Ideal","I","VS2","62.5","56.0","5855","6.38","6.41","4.0"
"1.53","Premium","J","VVS1","61.6","59.0","9384","7.35","7.39","4.54"
"0.52","Premium","G","SI1","59.7","60.0","1306","5.22","5.2","3.11"
"1.5","Good","G","SI2","63.7","58.0","7216","7.15","7.22","4.58"
"0.43","Premium","H","SI1","59.0","58.0","716","4.93","4.96","2.92"
"1.53","Ideal","I","VS2","62.1","55.0","9116","7.43","7.35","4.59"
"0.31","Premium","D","VS2","62.6","59.0","942","4.33","4.3","2.7"
"0.42","Ideal","G","VVS1","60.9","55.0","1023","4.83","4.89","2.96"
"0.3","Ideal","E","VS2","61.8","56.0","844","4.34","4.3","2.67"
"0.31","Ideal","E","SI1","62.7","54.0","544","4.35","4.36","2.73"
"0.51","Ideal","G","VVS2","62.9","57.0","1842","5.12","5.06","3.2"
"0.51","Very Good","E","SI2","58.3","63.0","1265","5.21","5.26","3.05"
"0.32","Ideal","E","SI2","61.3","56.0","427","4.42","4.45","2.72"
"1.45","Very Good","I","IF","60.6","61.0","9683","7.32","7.41","4.46"
"0.38","Ideal","J","VS2","62.3","55.0","572","4.63","4.65","2.89"
"0.3","Premium","I","VVS2","61.9","61.0","675","4.32","4.28","2.66"
"0.72","Very Good","D","SI2","61.3","59.0","2692","5.74","5.78","3.53"
"1.26","Premium","H","SI1","62.1","57.0","6435","6.94","6.88","4.29"
"0.7","Premium","G","IF","62.2","58.0","3591","5.63","5.69","3.52"
"0.52","Premium","G","VS1","61.7","56.0","1815","5.21","5.17","3.2"
"1.22","Premium","H","SI2","61.3","60.0","4509","6.87","6.81","4.19"
"1.01","Good","H","SI2","65.7","60.0","3926","6.17","6.19","4.06"
"0.31","Very Good","F","VS2","61.4","58.4","667","4.37","4.4","2.69"
"0.51","Very Good","F","VS1","60.8","59.0","1961","5.15","5.18","3.14"
"1.52","Good","I","SI1","64.0","58.0","9295","7.27","7.2","4.63"
"0.28","Very Good","F","VVS2","61.8","60.0","596","4.16","4.19","2.58"
"1.5","Premium","G","VS1","62.7","58.0","14105","7.25","7.3","4.56"
"1.2","Very Good","I","SI1","62.6","57.0","5476","6.74","6.77","4.23"
"1.81","Premium","I","VS2","62.7","58.0","12939","7.77","7.68","4.84"
"0.7","Ideal","G","SI1","60.7","55.0","2744","5.76","5.8","3.51"
"0.31","Premium","E","IF","61.0","59.0","1060","4.36","4.39","2.67"
"0.32","Ideal","E","VS2","61.5","56.0","716","4.43","4.45","2.73"
"0.41","Premium","D","SI2","62.3","58.0","683","4.74","4.77","2.96"
"1.55","Very Good","H","SI2","62.5","61.0","8174","7.31","7.34","4.58"
"0.31","Ideal","I","VVS1","62.1","54.0","511","4.34","4.39","2.71"
"0.24","Ideal","G","VVS1","62.2","56.0","559","4.0","4.04","2.5"
"0.27","Ideal","G","VS2","61.5","56.0","490","4.16","4.18","2.56"
"0.91","Ideal","G","SI1","62.6","56.0","3991","6.27","6.3","3.81"
"1.01","Very Good","F","SI2","63.2","59.0","4497","6.38","6.35","4.02"
"1.0","Very Good","D","SI2","58.3","61.0","4543","6.54","6.59","3.83"
"0.73","Ideal","G","SI2","61.8","56.0","2585","5.76","5.83","3.58"
"0.3","Premium","G","VVS2","62.9","55.0","878","4.28","4.24","2.68"
"0.5","Premium","E","SI1","62.2","58.0","1073","5.03","4.87","3.1"
"0.91","Ideal","E","SI2","61.1","58.0","3723","6.25","6.29","3.83"
"0.24","Ideal","F","VVS2","61.8","56.0","552","3.97","4.02","2.47"
"0.74","Ideal","H","VS1","61.6","56.0","2797","5.81","5.82","3.58"
"1.51","Good","I","SI1","63.8","57.0","6046","7.21","7.18","4.59"
"0.76","Ideal","F","SI1","62.6","56.0","2719","5.82","5.88","3.66"
"0.39","Good","F","VS2","64.3","55.0","681","4.56","4.64","2.96"
"0.73","Ideal","F","VVS1","61.9","56.0","5154","5.75","5.79","3.57"
"0.7","Very Good","E","SI2","63.1","54.0","2066","5.73","5.65","3.59"
"0.4","Ideal","H","VS1","61.1","57.0","815","4.74","4.78","2.91"
"0.31","Premium","G","VS2","58.8","62.0","605","4.41","4.4","2.59"
"0.31","Very Good","I","SI1","63.0","57.0","408","4.32","4.34","2.73"
"0.9","Ideal","G","SI2","62.7","53.0","3805","6.18","6.22","3.89"
"0.47","Premium","E","SI1","60.2","61.0","1087","5.05","4.96","3.02"
"0.7","Very Good","E","VS1","63.4","62.0","2695","5.64","5.56","3.55"
"1.09","Ideal","F","SI2","61.6","55.0","5143","6.59","6.65","4.08"
"0.32","Very Good","D","SI1","63.0","57.0","526","4.35","4.38","2.75"
"0.71","Ideal","I","VS2","62.3","58.0","2360","5.67","5.72","3.55"
"1.19","Ideal","H","VS2","62.1","59.0","6662","6.82","6.73","4.21"
"0.38","Ideal","D","VVS1","60.3","56.0","1915","4.74","4.72","2.85"
"0.42","Premium","G","VVS2","61.6","60.0","963","4.8","4.85","2.97"
"0.4","Ideal","I","IF","62.2","56.0","982","4.71","4.75","2.94"
"1.5","Very Good","F","VVS2","63.8","59.0","16116","7.17","7.25","4.6"
"0.91","Very Good","F","SI2","60.6","56.0","4081","6.27","6.3","3.81"
"1.23","Premium","G","VS1","62.8","56.0","8381","6.86","6.81","4.29"
"0.5","Premium","E","VS2","61.3","60.0","1624","5.07","5.11","3.12"
"0.31","Ideal","I","VVS1","62.3","54.0","557","4.37","4.4","2.73"
"1.15","Premium","I","SI1","62.2","56.0","4637","6.77","6.67","4.18"
"0.9","Very Good","D","VS2","63.5","61.0","4521","6.16","6.09","3.89"
"0.9","Good","F","SI2","63.1","57.0","3267","6.11","6.18","3.88"
"0.32","Good","G","SI2","63.4","55.0","421","4.32","4.35","2.75"
"1.11","Good","H","SI1","64.2","58.0","4606","6.53","6.47","4.17"
"0.91","Very Good","F","SI1","63.5","58.0","3195","6.15","6.1","3.89"
"0.5","Very Good","J","SI1","63.3","60.0","963","4.99","4.97","3.15"
"0.51","Very Good","G","VS2","63.5","57.0","1443","5.06","5.05","3.21"
"0.91","Premium","G","SI1","62.6","58.0","3975","6.17","6.14","3.85"
"0.6","Ideal","G","VVS2","61.6","55.0","2413","5.44","5.47","3.36"
